Unnamed: 0,Unnamed: 0_x,neuron_idx,logitvar,norm_out_weight,Unnamed: 0_y,rho,norm,neuron_index
192,192,192,0.0002793578605633,0.5213622450828552,192,0.9057376,0.52136225,192
435,435,435,0.0001646768214413,0.5856279730796814,435,0.89131325,0.585628,435
3972,3972,3972,0.0002036193181993,0.91731458902359,3972,0.89230615,0.9173146,3972
4132,4132,4132,0.0002023708511842,1.309798002243042,4132,0.9772101,1.309798,4132
5104,5104,5104,0.0001570118765812,2.820547580718994,5104,0.98935574,2.8205476,5104
5265,5265,5265,0.0002208813239121,0.5676828622817993,5265,0.9316115,0.56768286,5265
6368,6368,6368,0.00016948422126,0.9086191654205322,6368,0.8799894,0.90861917,6368
7385,7385,7385,0.0001929058489622,0.7714391946792603,7385,0.95714664,0.7714392,7385
7756,7756,7756,0.0001709674543235,1.260767698287964,7756,0.8757286,1.2607677,7756
